"Unnamed Column","School DBN","School Name","School Type","School Level","Regents Exam","Year","Category","Total Tested","Mean Score","Number Scoring Below 65","Percent Scoring Below 65","Number Scoring 65 or Above","Percent Scoring 65 or Above","Number Scoring 80 or Above","Percent Scoring 80 or Above","Number Scoring CR","Percent Scoring CR"
"08X5072015All StudentsGeometry","08X507","Stevenson Yabc","YABC","High school","Geometry","2015","All Students","1","s","s","s","s","s","s","s","s","s"
"01M1842018All StudentsLiving Environment","01M184","P.S. 184m Shuang Wen","General Academic","K-8","Living Environment","2018","All Students","32","90.2","0","0.0","32","100.0","31","96.9","na","na"
"01M4582019All StudentsSpanish","01M458","Forsyth Satellite Academy","Transfer School","High school","Spanish","2019","All Students","1","s","s","s","s","s","s","s","s","s"
"01M5092017All StudentsSpanish","01M509","Marta Valle High School","General Academic","High school","Spanish","2017","All Students","16","82.7","0","0.0","16","100.0","10","62.5","na","na"
"02M2982015All StudentsGeometry","02M298","Pace High School","General Academic","High school","Geometry","2015","All Students","163","62.9","81","49.7","82","50.3","13","8.0","13","8.0"
"02M3162015All StudentsItalian","02M316","Urban Assembly School of Business for Young Women,","General Academic","High school","Italian","2015","All Students","1","s","s","s","s","s","s","s","s","s"
"02M3762017All StudentsPhysical Settings/Chemistry","02M376","NYC iSchool","General Academic","High school","Physical Settings/Chemistry","2017","All Students","1","s","s","s","s","s","s","s","s","s"
"02M4002019All StudentsFrench","02M400","High School for Environmental Studies","General Academic","High school","French","2019","All Students","21","81.5","0","0.0","21","100.0","11","52.4","na","na"
"02M4142015All StudentsEnglish","02M414","N.Y.C. Museum School","General Academic","High school","English","2015","All Students","128","87.4","2","1.6","126","98.4","112","87.5","124","96.9"
"02M4142015All StudentsFrench","02M414","N.Y.C. Museum School","General Academic","High school","French","2015","All Students","25","87.2","0","0.0","25","100.0","21","84.0","na","na"
"02M4142015All StudentsGeometry","02M414","N.Y.C. Museum School","General Academic","High school","Geometry","2015","All Students","132","75.1","12","9.1","120","90.9","40","30.3","40","30.3"
"02M4162015All StudentsGeometry","02M416","Eleanor Roosevelt High School","General Academic","High school","Geometry","2015","All Students","139","84.2","10","7.2","129","92.8","101","72.7","101","72.7"
"02M4322018All StudentsSpanish","02M432","Murray Hill Academy","Transfer School","High school","Spanish","2018","All Students","2","s","s","s","s","s","s","s","s","s"
"01M0342015All StudentsLiving Environment","01M034","P.S. 034 Franklin D. Roosevelt","General Academic","K-8","Living Environment","2015","All Students","16","77.9","1","6.3","15","93.8","7","43.8","na","na"
"01M0342016All StudentsLiving Environment","01M034","P.S. 034 Franklin D. Roosevelt","General Academic","K-8","Living Environment","2016","All Students","9","74.0","1","11.1","8","88.9","2","22.2","na","na"
"01M0342017All StudentsCommon Core Algebra","01M034","P.S. 034 Franklin D. Roosevelt","General Academic","K-8","Common Core Algebra","2017","All Students","4","s","s","s","s","s","s","s","s","s"
"01M0342018All StudentsCommon Core Algebra","01M034","P.S. 034 Franklin D. Roosevelt","General Academic","K-8","Common Core Algebra","2018","All Students","2","s","s","s","s","s","s","s","s","s"
"01M0342018All StudentsLiving Environment","01M034","P.S. 034 Franklin D. Roosevelt","General Academic","K-8","Living Environment","2018","All Students","2","s","s","s","s","s","s","s","s","s"
"01M0342019All StudentsCommon Core Algebra","01M034","P.S. 034 Franklin D. Roosevelt","General Academic","K-8","Common Core Algebra","2019","All Students","3","s","s","s","s","s","s","s","s","s"
"01M0342019All StudentsLiving Environment","01M034","P.S. 034 Franklin D. Roosevelt","General Academic","K-8","Living Environment","2019","All Students","3","s","s","s","s","s","s","s","s","s"
"01M1402015All StudentsLiving Environment","01M140","P.S. 140 Nathan Straus","General Academic","K-8","Living Environment","2015","All Students","9","67.4","3","33.3","6","66.7","0","0.0","na","na"
"01M1402016All StudentsCommon Core Algebra","01M140","P.S. 140 Nathan Straus","General Academic","K-8","Common Core Algebra","2016","All Students","3","s","s","s","s","s","s","s","s","s"
"01M1402016All StudentsLiving Environment","01M140","P.S. 140 Nathan Straus","General Academic","K-8","Living Environment","2016","All Students","15","72.6","2","13.3","13","86.7","5","33.3","na","na"
"01M1402017All StudentsCommon Core Algebra","01M140","P.S. 140 Nathan Straus","General Academic","K-8","Common Core Algebra","2017","All Students","2","s","s","s","s","s","s","s","s","s"
"01M1402017All StudentsLiving Environment","01M140","P.S. 140 Nathan Straus","General Academic","K-8","Living Environment","2017","All Students","9","64.4","5","55.6","4","44.4","1","11.1","na","na"
"01M1402018All StudentsCommon Core Algebra","01M140","P.S. 140 Nathan Straus","General Academic","K-8","Common Core Algebra","2018","All Students","1","s","s","s","s","s","s","s","s","s"
"01M1402018All StudentsLiving Environment","01M140","P.S. 140 Nathan Straus","General Academic","K-8","Living Environment","2018","All Students","2","s","s","s","s","s","s","s","s","s"
"01M1402019All StudentsCommon Core Algebra","01M140","P.S. 140 Nathan Straus","General Academic","K-8","Common Core Algebra","2019","All Students","4","s","s","s","s","s","s","s","s","s"
"01M1402019All StudentsLiving Environment","01M140","P.S. 140 Nathan Straus","General Academic","K-8","Living Environment","2019","All Students","3","s","s","s","s","s","s","s","s","s"
